driverId,name,ssn,location,certified,wage-plan
10,Casey Nichols,688-94-4928,"483 Jacobs Loaf
Waltonport, AZ 75034",N,hours
11,Jason Pitts DDS,264-43-0887,"737 Hamilton Club Suite 891
North Michellefurt, FL 36959",N,miles
12,Jeremy Perkins,479-95-6509,"07606 Brown Road Apt. 376
South Jennifermouth, OK 29858",N,miles
13,Kyle Preston,470-08-8852,"070 Quinn Ville
North Jesus, ME 31066",Y,miles
14,Charles Armstrong,803-26-1036,"209 Joseph Ports Suite 107
Bradleyport, MH 47512",Y,hours
15,Dale Jackson,559-02-6775,"74014 Garcia Run
Port Cindy, MH 26241",N,miles
16,Alyssa Rodriguez,384-09-7938,"7430 Houston Orchard
South Carolfurt, MH 54284",Y,miles
17,Deanna Sanchez,310-01-2795,"3261 Nichole Ford Apt. 462
Andersonshire, WA 47296",N,hours
18,Mark Santiago,389-14-7495,"039 Sharp Trace
Bradleyview, NJ 44937",Y,miles
19,Melanie Hall,757-42-9294,"796 Richardson Expressway
Petersenburgh, ND 62048",N,hours
20,Stephen Anderson,357-81-4660,"008 Melissa Villages
North Patriciachester, NE 63162",N,hours
21,Shannon Oconnor,158-94-7407,"233 Logan Common
Michaelahaven, MH 90499",Y,hours
22,Amber Woods,225-71-4224,"2154 Amber Haven
Bobbybury, WY 62031",Y,hours
23,Andrea Obrien,456-69-6449,"091 Katrina Grove
West Jerrybury, LA 44425",Y,hours
24,Catherine Hughes,292-31-9698,"USNS Lyons
FPO AP 00889",N,hours
25,Brian Turner,282-66-0949,"10578 Combs Camp
Coryside, AR 45285",N,miles
26,Tyler Alvarado,372-23-2112,"503 Martinez Orchard
South Williamstad, WV 43950",N,hours
27,John Garrett,150-66-4833,"80156 Bradley Park Apt. 121
Lake Richard, TX 70239",Y,hours
28,Karen Thornton,812-50-8207,"7312 Burton Summit
Matthewtown, VA 25448",N,miles
29,Robert Logan,669-21-2442,"3039 Caleb Parkways Apt. 249
East Sheenamouth, WA 40397",Y,hours
30,Diane Sandoval,572-70-2147,"532 Donna Loop Apt. 790
Lake Kenneth, KY 94442",Y,miles
31,Steven Thomas,834-56-9771,"025 Terry Skyway
Lake Amandaport, PW 71567",Y,miles
32,Sandra Bennett,226-23-6518,"0961 Spencer Tunnel
Mcculloughborough, RI 07989",N,miles
33,Christine Hill,017-13-2571,"865 Johnson Brooks Apt. 184
East Heatherville, CO 37600",N,miles
34,Stephanie Baxter,431-41-3360,"92316 Kim Trace
Port Donnaborough, NC 37332",Y,hours
35,Gail Carpenter,278-11-0909,"5806 Danielle Shore Suite 122
Lake Leslie, ND 18387",N,hours
36,Jennifer Foster,837-40-6794,"76553 Boyd Road Suite 007
New Hayley, MA 16688",N,hours
37,Jackie Campbell,762-59-4299,"36160 Brittany Pines Suite 459
New Marc, FL 50645",N,hours
